ulasan,label,pelayanan,fasilitas,wahana,kuliner
kembang fasiltas toilet baik akses jalan,0,0,1,0,0
wisata spenuh tiket masuk itu jaga jaga langsung masuk gratis bayar uang parkir kolam renang anak cowok kolam jrg paka trkesan lumut hehe anak main air kolam sederhana tidak renang atas jual jajan bawa jajan lokasi,0,1,1,1,1
pandang indah suasana nyamaann,1,0,0,0,0
wisata edukasi sederhana enang jiwa rana,1,0,0,0,0
wisata trawas sumber air pandang sawah gunung anggung,1,0,0,0,0
renovasi wisata mandi enang nyaman,0,0,0,1,0
seru itip baju tenang renang,0,0,0,1,0
asyik suasana desa putar gunung udara sejuk,1,0,0,0,0
sejuk indah asli sejuk asri,1,0,0,0,0
bagus banget enak rekreasi luarga kolam renang cafetaria,1,0,0,1,1
wisata sawah enang bersih tata enak bawa luarga sini,1,0,0,0,0
liling indonesia,1,0,0,0,0
wisata murah riah,1,0,0,0,0
nyaman kunjung indah bagus tenang rest nyaman gubuk suka kolam renang air jernih segar pokok wajib kunjung weekend ya,1,0,1,1,0
kak buka enang,1,0,0,1,0
nyaman segar udarae bang jau jalan raya enak santa main sawah,1,0,0,0,0
ya tempat penuh jajak dapat asli aduh tempat puanas poll,0,0,1,0,0
pandang indah harga makan murah,1,0,0,0,1
nemu kayak mojokerto,1,0,0,0,0
asri,1,0,0,0,0
rama unjung ppkm semoga,1,0,0,0,0
bagus jalan nya baru,0,0,1,0,0
enak ngumpul bareng luarga teman suasana enak banget,1,0,0,0,0
nyaman wisata luarga,1,0,0,0,0
cocok luarga pandang bagus ikan air tawar,1,0,0,1,0
bagus cocok orangtua anak recomend layan,1,1,0,0,0
cocok wisata luarga fasilitas proses bangun,0,0,1,0,0
wisata sawah sumber gempong trawas mojokerto best rice field tourism destination,1,0,0,0,0
nih serius keren sih segar banget cocok ngerefresh otak,1,0,0,0,0
pandang sawah,1,0,0,0,0
bagus unt rekreasi luarga teman teman sumber air alam segar jernih sila sini rama parkir luas harga tiket masuk jangkau,1,0,1,0,0
pandang nya bagus sawah gunung,1,0,0,0,0
mantap wes,1,0,0,0,0
rekreasi luarga pandang bagus harga pas kantong,1,0,0,0,0
bagus tanggal makan minum,0,0,0,0,1
nyaman cocok luarga rileksasi,1,0,0,0,0
sejuk banget nya enak the luarga time,1,0,0,0,0
natural pandang bagus very murah pandang alam bagus murah,1,0,0,0,0
sejuk adem tempat bersih,1,0,0,0,0
pas wisata pandang alam indah udara gunung sejuk,1,0,0,0,0
wisata alam asri pandang sawah kolam renang air sumber alam kaporit,1,0,0,1,0
like suka,1,0,0,0,0
suasana mantab,1,0,0,0,0
wisata gunung lumay bagus,1,0,0,0,0
tiket murah orang,1,0,1,0,0
bersih tiket masuk murah rp orang,1,0,1,0,0
bagus pagi biar panas,0,0,1,0,0
wisata bagus suasana sawah pandi air sumber asli cocok libur luarga anak anak main,1,0,0,1,0
maksimal,0,0,0,0,0
bikin hati tenang,1,0,0,0,0
jos murah riah enak bawa motor akses jalan masuk lokasi sempit bawa mobil tanggal merah rama susah papas mobil masuk,0,0,1,0,0
pandang bagus sejuk adeeem,1,0,0,0,0
tempat asyik luas,1,0,0,0,0
tempat sejuk pandang indah alam hampar sawah hijau kolam ikan,1,0,0,1,0
pilih wisata lokal area trawas suhu sejuk khas trawas air jernih gunung nyaman berjam jam endam kaki,1,0,0,1,0
tempat enang panja mata pandang gunung sawah sayang jarak lokasi beli makan bilang,0,0,0,0,1
