ulasan,label,pelayanan,fasilitas,wahana,kuliner
Trus Dikembangkan.. Tambah Fasiltas Khususnya Toilet Dan Perbaiki Akses Jalan.,0,0,1,0,0
"tempat wisatanya msh baru, jd blm spenuhnya jadi tiket masuk 5000, itupun kalau ada penjaganya klo blm ada yg jaga bs lgsg masuk gratis, hny perlu byr uang parkir aja ada kolam renang tp lbh utk anak cowo krn kolamnya jrg dipakai trkesan berlumut hehe ank kecil biasanya mainan air di kolam sederhana (tdk bs buat renang) diatas ada penjual jajan dan kita blh bawa jajan ke lokasi",0,1,1,1,1
Pemandangannya sangat indah dan suasananya nyamaann...,1,0,0,0,0
"wisata edukasi yg sederhana, tp cukup menenangkan jiwa yg merana",1,0,0,0,0
Tempat wisata baru yang ada di trawas. Sumber air dengan pemandangan sawah dan gunung penanggungan,1,0,0,0,0
sudah direnov menjadi tempat wisata baru. Tapi untuk mandi berenang kok kurang nyaman,0,0,0,1,0
Seru tapi gakda penitipan baju jadi gak tenang mau renang,0,0,0,1,0
"Asyikk...suasana pedesaan,,diputari gunung,,udaranya sejuk",1,0,0,0,0
Tempat yang sejuk dan sangat indah.. (Asli) Tempat sejuk dan sangat asri..,1,0,0,0,0
"Bagus banget enak buat rekreasi keluarga ada kolam renang, cafetaria",1,0,0,1,1
Wisata sawah yang menenangkan. Bersih dan ditata dengan baik. Enak bawa keluarga kalau kesini..,1,0,0,0,0
Keliling indonesia,1,0,0,0,0
Wisata murah meriah,1,0,0,0,0
"Tempat yg nyaman untuk dikunjungi,, indah,, bagus,, tenang,, ada rest yg nyaman yaitu gubuk dan yg paling sy suka ada kolam renang dg air yg jernih dan seger .. pokok e wajib dikunjungi setiap weekend ya ...",1,0,1,1,0
Kak apakah udah buka dan bisa untuk berenang,1,0,0,1,0
Nyaman seger udarae...bg jau dari jalan raya... enak buat santai main ke sawah,1,0,0,0,0
Yah.... Tempatnya penuh dengan jajak pendapat (Asli) Hadeuh.... Tempatnya puanas poll,0,0,1,0,0
Pemandangan yang indah...hrga makanan cukup murah,1,0,0,0,1
Baru pertama nemu tempat kyk begini di mojokerto,1,0,0,0,0
Tempat yang asri,1,0,0,0,0
Sdh mulai ramai pengunjung..ppkm semoga berlalu.,1,0,0,0,0
"Bagus, cuma jalan ke tempat nya aja yg masih harus di perbarui",0,0,1,0,0
Enak buat ngumpul bareng keluarga n temen. Suasananya enak banget,1,0,0,0,0
"Tapat yg nyaman buat wisata keluarga,",1,0,0,0,0
Cocok buat keluarga. Pemandangan bagus banyak ikan air tawar,1,0,0,1,0
Bagus . Cocok untuk orangtua dan anak2 . Recomend . Pelayanan baik .,1,1,0,0,0
"Cocok untuk wisata keluarga, masih banyak fasilitas yang masih proses dibangun",0,0,1,0,0
"Wisata Sawah SUMBER GEMPONG, Trawas, Mojokerto. Best Rice Field Tourism Destination",1,0,0,0,0
"Ada yg baru nih ,srius keren sih ini . Seger bet ,cocok buat ngerefresh otak disini",1,0,0,0,0
Pemandangan persawahan,1,0,0,0,0
Bagus unt rekreasi bersama klg....serta teman teman...ada sumber air alami yg segar dan jernih.....silahkan kesini ...sdh mai ramai...parkiran luas...harga tiket masuk sangat terjangkau,1,0,1,0,0
"View nya bagus,,sawah dan gunung,,,",1,0,0,0,0
Mantap wes,1,0,0,0,0
"Tempat rekreasi keluarga, pemandangan bagus dan harga pas di kantong",1,0,0,0,0
tempat bagus tapi pada hari ini tgl 8/8 2021 makanan dan minuman blm siap,0,0,0,0,1
Nyaman.. Sangat cocok buat keluarga untuk rileksasi,1,0,0,0,0
Sejuk banget tempat nya... Enak buat the family time,1,0,0,0,0
Natural view. Good place n very cheap Pemandangan alam. Tempat yang bagus n sangat murah,1,0,0,0,0
Sejuk.adem.dan tempatnya bersih,1,0,0,0,0
"Tempat yg pass utk wisata, dng pemandangan alam yg indah dan udara pegunungan yg sejuk.",1,0,0,0,0
"Wisata alam asri dengan pemandangan sawah, kolam renang dengan air dari sumber alami tanpa kaporit",1,0,0,1,0
Like Menyukai,1,0,0,0,0
Suasananya mantab,1,0,0,0,0
Wisata gunung yang lumayan bagus,1,0,0,0,0
Tiket murah cuma 5k per orang,1,0,1,0,0
Tempat bersih tiket masuk murah Rp. 5000 per orang,1,0,1,0,0
