ulasan,label
Tempat wisata baru yang ada di trawas. Sumber air dengan pemandangan sawah dan gunung penanggungan,1
sudah direnov menjadi tempat wisata baru. Tapi untuk mandi berenang kok kurang nyaman,0
Seru tapi gakda penitipan baju jadi gak tenang mau renang,1
"Asyikk...suasana pedesaan,,diputari gunung,,udaranya sejuk",1
Tempat yang sejuk dan sangat indah..  (Asli) Tempat sejuk dan sangat asri..,1
"Bagus banget enak buat rekreasi keluarga ada kolam renang, cafetaria",1
Wisata sawah yang menenangkan. Bersih dan ditata dengan baik. Enak bawa keluarga kalau kesini..,1
Wisata murah meriah,1
"Tempat yg nyaman untuk dikunjungi,, indah,, bagus,, tenang,, ada rest yg nyaman yaitu gubuk dan yg paling sy suka ada kolam renang dg air yg jernih dan seger .. pokok e wajib dikunjungi setiap weekend ya ...",1
"Wisata alam asri dengan pemandangan sawah, kolam renang dengan air dari sumber alami tanpa kaporit",1
Suasananya mantab,1
Wisata gunung yang lumayan bagus,1
Tiket murah cuma 5k per orang,1
Tempat wisatanya ditutup.,0
"Cukup bagus, murah, sayang akses jalan msh sempit & berbatu.",0
Tempat wisata yang bagus suasana persawahan.. Pemandian air sumber asli cocok buat liburan kluarga dan anak anak bermain,1
Blm maximal..... Mungkin krn msh baru,0
Jos murmer.. Paling enak bawa motor karena akses jalan masuk ke lokasi sempit kalo bawa mobil apalagi saat tanggal merah rame jd agak susah kalau lagi papasan sama mobil yg mau keluar/masuk,0
