ulasan,label
wisata trawas sumber air pandang sawah gunung tanggung,1
renovasi wisata mandi renang nyaman,0
seru titip baju tenang renang,1
asyik suasana desa putar gunung udara sejuk,1
sejuk indah asli sejuk asri,1
bagus banget enak rekreasi keluarga kolam renang cafetaria,1
wisata sawah tenang bersih tata enak bawa keluarga kesini,1
wisata murah riah,1
nyaman kunjung indah bagus tenang rest nyaman gubuk suka kolam renang air jernih segar pokok wajib kunjung weekend ya,1
wisata alam asri pandang sawah kolam renang air sumber alami kaporit,1
suasana mantab,1
wisata gunung lumayan bagus,1
tiket murah orang,1
wisata tutup,0
bagus murah sayang akses jalan sempit batu,0
wisata bagus suasana sawah mandi air sumber asli cocok libur keluarga anak anak main,1
maksimal,0
jos murah riah enak bawa motor akses jalan masuk lokasi sempit bawa mobil tanggal merah ramai susah papas mobil masuk,0
