No,Ulasan,Label,Pelayanan,Fasilitas,Wahana,Kuliner
1,sayang jalan masuk sempit,0,0,1,0,0
2,wisata bagus buang sampah sembarang sayang sekal,0,0,1,0,0
3,loket sete parkir biar tidak macet cepat,0,1,0,0,0
4,orang kota sibuk sawah pandang arik duduk santa ikmat hidang pandang sawah asyik,1,0,1,1,1
5,wow alam pandang asri dingin kayak pandanga cakep keren pengin jalan mas tiket harga jangkau,1,0,0,1,0
6,keren sekal cocok libur luarga cinta,1,1,1,0,0
7,kreatif ya pilik wisata saji wisata tani alam desa,1,1,1,1,0
8,wisata sawah sumber nyata sawah wisata keren,1,0,1,0,0
9,sumber gempong trawas wisata murah riah luarga favorit wahana reta hehe,1,0,0,1,0
10,subhanal wisata murah riah pandang indah,1,0,1,0,0
11,sekeluarga pandang indah sejuk murah,1,0,1,0,0
12,akses gangnya smpit masuk ndara apalag driver elf kadang macettt simpang semoga jalur masuk lebar biar bus masuk,0,0,1,0,0
13,masuk situ gagal masuk penuh tidak parkir jam siang,0,0,1,0,0
14,sawah ijo minggu marin kamar mandi air kotor tidak anjur mandi toilet,0,0,1,0,0
15,bagus suasana sawah hijau sejuk mata,1,0,1,0,0
16,lihat sejuk indah wisata,1,0,1,0,0
17,bagus wisata alam panfaat area sawah kemas wisata arik,1,1,1,0,0
18,wisata alam banget main agam cocok luarga,1,0,0,1,0
19,senang libur luarga,1,0,1,0,0
20,wisata indah nyaman,1,0,1,0,0
21,indah wahana,1,0,0,1,0
22,tau situ tiket nya murah banget wahana nya murah,1,0,1,0,0
23,teduh gazebo lahan sawah panas banget air kolam keruh anak main air maaf saran,0,0,1,0,0
24,minggu marin surabaya sampa gapura katae penuh masuk cewa deh,0,1,1,0,0
25,kuliner,0,0,0,0,1
26,panas siang,0,0,1,0,0
27,parkir luas akses masuk mobil gntian masuk nya,0,1,1,0,0
28,jalur mobil jembar maszeeh,0,0,1,0,0
29,main antri nya ngeri weekend pandang oke,0,0,0,1,0
30,sip wae jalur reta sawah ya kali jalur kolam,1,0,0,1,0
31,marin jam set an suruh lurus hansip masuk,0,1,0,0,0
32,reta cocok anak mtpi emak pengin ngikut,1,0,0,1,0
33,bagus parkir susah sih,0,0,0,1,0
34,camping ground kak sepert nya urus,0,0,0,1,0
35,pohon kak biar teduh pohon trembesi pohon mangga lainyya,0,0,1,0,0
36,gazebo kak masak teduh,0,0,1,0,0
37,maaf kak toilet sampah ya toilet pawon ku,0,0,1,0,0
38,kstu penuh tolak,0,1,0,0,0
39,jalan parkir arah pulang bikin cewa moga cepat bagusin,0,0,1,0,0
40,tolong banyakinn wahana min kolam renang bagusin ya min trms,0,0,1,1,0
41,puuuuuanaaas teduh pohon rindang munkin enak,0,0,1,0,0
42,suka api ikan nya,1,0,1,0,0
43,pandang bagus sayang toilet,0,0,1,0,0
44,bagus unjung pengin,1,0,1,0,0
45,maaf sesua realita kolam anak keruh cuaca panas banget teduh sawah,0,0,1,1,0
46,murah makan enak kali ksana,1,0,0,0,1
47,saran kolam nya bersih karenaa pija batu lmyn tajem,0,0,0,1,0
48,akses masuk macet pol min mohon cari akses akses hehe,0,0,1,0,0
49,marin minggu cewa banget jalan nanjak eh masuk distop bpk nya atur jalan akses masuk bilang penuh kuota,0,1,0,0,0
50,favorit bersih sejuk makan jangkau,1,0,1,0,1
51,cocok banget karenaa layan tugas ramah menu makan situ lengkap murah riah,1,1,0,0,1
52,rute reta mini nya lumay sesal cafe nya mnurut standard tolong tingkat fasilitas sepert toilet mushola nya bersih banget bersih nya,1,1,1,1,1
53,sedia warung jual harga jangkau,1,0,0,0,1
54,tiket masuk rp orang murah riah harga kafetaria jangkau tidak sepert tipikal harga wisata,1,0,1,0,1
55,hitung murah wisata pop mie aqua,1,0,0,0,1
56,kantin harga jangkau enak,1,0,0,0,1
57,kolam renang wahana lumay harga jangkau sepert becak air reta sawah jantra kuda sepeda layang becak terbang kantin jual aneka minum musholla kantin,1,0,1,0,1
58,asyik kolam air nya asli sumber air enang lihat pandang bagus full hijau hijau harga nya murah murah sekal wahana murah,1,0,0,1,1
59,kuda becak terbang oh iya sedia gazebo sawah duduk duduk pandang gunung area bersih udara segar panas warung jajan oh iya camping gaes,1,0,1,1,1
60,wisata alam pandang sawah alam kolam renang air langsung sumber main anak anak warung menu fasilitas mushola toilet bersih,1,0,1,1,1
61,wisata jangkau fasilitas oke banget harga ramah harga tidak ngawur lumay parkir luas wahana main kolam renang gratis punggut biaya spot foto pandang natural pkknya,1,0,1,1,0
62,food court nya harga jangkau banget murahhhh nya enak variasi,1,0,0,0,1
63,sumber air segar reta sawah tiket ribu sepeda terbang jajan harga jangkau banget risau bawa bekal,1,0,0,1,1
64,nya luas nya upa pujasera umkm batas duduk nya suasana sejuk segar rama harga orang habis ribu masuk makan minum wahana main parkir harga tiket masuk,1,0,1,1,1
65,area wahana wisata area wisata kuliner area wisata kelola bumdes sedia utama area kelola umkm bina bumdes tapanrame berjum toko umkm,1,1,1,0,0
66,akses jalan sempit hadiah beret kanan kiri selip mobil parkir penuh mobil masuk stop penuh masuk,0,1,1,0,0
67,admin buka pinta maaf fasilitas sepert loh loh wisata parkir sepert tidak tinda pilik,0,1,1,0,0
68,atur tidak parkir tidak unjung biar masuk sampa area tidak arah parkir suruh jalan tembus pintu,0,0,1,0,0
69,bablas ambil tiket pinggir jalan suru tukang parkir lokasi jalan lumay muter bilang samperin loket ya usir suruh jalan masuk sempit rumah rumah warga bagus bagus panas panas ujan ya ujan ujan plus becek banget nomor recomended segi karyaw lokasi bagus,0,1,1,0,0
70,pokoke seru murah riah wis segitu karcis nomor,1,0,1,0,0
71,rekomended mobil pas minggu kondisi hujan area parkir medan off road,0,0,1,0,0
72,mobil kali pengin aman jalan sempit banget cok mobil gue langsung beret kanan kiri mobil beli cok,0,0,1,0,0
73,jalan masuk sempit mobil seharus jalan masuk sendir jalan jalan sendir tidak ganti,0,0,1,0,0
74,penuh kali ecewa biar sampa capek daftar karcis online zaman modern,0,0,1,0,0
75,gapura bolak kali bilang penuh hansip nya,0,1,0,0,0
76,nya rama toilet lihat instagram google tidak sepert nyata,0,0,1,0,0
77,air nya suejuk sumber alam,1,0,1,0,0
78,tidak rama aduh nyata,1,0,1,0,0
79,tingkat fasilitas sedia tikar minimal sewa susah nyaman pandang bagus alhasil tidak ikmat sadar saran ima kasih,0,0,1,0,0
80,cocok luarga pandang bagus ikan air tawar,1,0,1,0,0
81,suasana sejuk alam ata bagus,1,0,1,0,0
82,puol gadibolehin belok ogah yaudah gajad,0,1,0,0,0
83,nya fasum teduh event,0,0,1,0,0
84,bagus sayang elola wisata tidak profesional kesan tidak sopan,0,1,1,0,0
85,bagus,0,0,1,0,0
86,lumay,1,0,0,0,0
87,asri udara sejuk alam,1,0,1,0,0
88,akses massuk sempit,0,0,1,0,0
89,ya penuh jajak,0,0,1,0,0
90,wisata tutup,0,1,1,1,1
91,senang,1,1,1,1,0
92,segar,1,0,1,0,0
93,apik lengkap om sumber gempong asiik banget wisata wisata cafe borbardir trawas,1,0,1,1,1
94,mantab keren,1,0,1,1,0
95,wisata sawah arti sesungguh tidak arik luas banget pandang nya bagus fasilitas toilet nya jarang titik cari teduh,0,0,1,0,0
96,tama kali suam harga tiket masuk ribu orang parkir motor ribu akses jalan masuk gang bablas lihat gangnya,1,0,1,0,0
97,sumber gempong rupa wisata alam ds tapanrame trawas lokasi sete taman ganjar jalan medan uju lokasi lumay turun jalan sempit paka motor matic,0,0,1,0,0
98,kali tiket masuk murah riah ribu orang anak main mandi kolam sepuas air jernih bebas kaporit,1,0,1,1,0
99,lokasi wisata tidak taman wisata ganjar trawas gang masuk relatif sempit jalur mobil jalan kampung tugas jaga atur masuk mobil masuk gang,1,1,1,0,0
100,wisata desa cocok luarga time sesua nama sumber air letak pohon kolam pandi anak wahana sedia urut patut coba sepert bebek air reta awan sepeda terbang,1,0,0,1,0
101,bagus pandang nya sawah lengkap saung gazebo wisata renang suasana nya asri sejuk cocok banget healing luarga wisata kuda flying fox seru reta mini cocok banget anak,1,0,1,1,0
102,wisata cocok libur bareng teman teman luarga luas wahana sepert sepeda terbang becak terbang kolam renang atv reta sawah api bebek air,1,0,1,1,0
103,libur murah riah,1,0,1,0,0
104,sejuk cocok libur ala alam,1,0,1,0,0
105,cocok wisata bareng luarga,1,0,1,0,0
106,bagus murah riah kamar mandi kamar ganti,1,0,1,0,0
107,bagus sesua budget ramah banget kantong,1,0,1,0,0
108,kualitas mantap,1,0,0,0,1
109,cinta alam asri tema sawah bagus,1,0,1,0,0
110,makan nya murah murah deh,1,0,0,0,1
111,lumay bagus murah riah wahana nya jam an unjung rama mskipun kerja,1,0,1,1,0
112,,0,0,1,0,0
113,harga tiket masuk masuk jangkau jenis makan harga makan standart harga tiket wahana standar weekend tidak rama ikmat pandang,1,0,1,1,1
114,luas bersih makan worth,1,0,1,0,1
115,wisata bagus luarga pekan suasana back nature banget air sunga jernih segar api ikan orang dewasa api lihat anak enang renang api ikan gratis ya bayar wahana worth spend time bareng luarga pekan biaya masuk rp selamat libur,1,0,1,1,0
116,nya bagus kolam nya air nya sueger harga tiket masuk gila semoga nya inovasi,1,0,1,1,0
117,suka banget masyaal cuaca dukung sejuk sekal kunjung kamis tiket masuk orang ribu parkir motor ribu kantin loh kamar mandi bersih suka api ikan seru geli geli tama kali sebenar incar kuda nyata kuda cuman weekend doang reta sawah deh tiket orang ribu suka sekal senang cocok luarga nongkrong bareng teman pasang,1,0,1,1,1
118,aduh deh pas weekend penuh sesak laut manusia ikmat fasilitas santa joglo teduh nyata sewa neduh pas hujan usul saran tugas parkir koordinasi tugas erima wisataw loket parkir penuh ya informasi parkir tidak erima wisataw muter cari parkir tugas nyuruh nyuruh muter cari susah wisataw semoga kritik saran sebaga jalan semoga sukses pikir deh,0,1,1,0,0
119,tiket masuk murah tiket wahana murah makan jual murah pandang indah senang,1,0,1,1,1
120,tiket murah riah,1,0,1,1,1
121,nyaman sejuk cuman pilih makan jajan,0,0,1,0,1
122,mbali alam,1,0,1,0,0
123,keren edukasi rekomendasi ajar anak usia masyarakat enal alam,1,0,1,0,0
124,libur luarga makan tiket murah,1,0,1,0,1
125,nyaman refresing bersih,1,0,1,0,0
126,suasana sejuk,1,0,1,0,0
127,bagus gunung sawah,1,0,1,1,0
128,wisata murah riah harga tiket masuk ribu pandang sawah sayang neduh banget,0,0,1,0,0
129,bagus,1,0,1,0,0
130,pandang gunung bagus,1,0,1,0,0
131,weekend bingung rekomended nih sawah sumber gempong suasana indah banget main anak dewasa oh ya tiket masuk uwaaa ecewa selera orang beda beda ya gais semoga suka,1,0,1,1,1
132,layan jam,1,1,0,0,0
133,obat ikmat panorama indah sejuk asli healing ikmat panorama indah nan sejuk,1,0,1,0,0
134,sejuk bersih pandang mantap,1,0,1,0,0
135,asri cocok wisata luarga tiket masuk murah riah,1,0,1,0,0
136,parkir buruk,0,0,1,0,0
137,lokasi jalan paka ndara sutle taman ganjar parkir mobil pribad batas rama unjung parkir mobil lumpur,0,0,1,0,0
138,makan mie bakso gado pandang indah parkir jalan sempit tugas pantau lumay healing,0,0,1,0,1
139,luas alam wahana nyaman lur,1,0,1,1,0
140,wisata ngerefresh banget suka lengkap mushola kamar mandi warung the best deh tiket masuk worth poll aman tolong tambahin sampah wahana sulit kali buang sampah makan,0,0,1,1,1
141,puas fasilitas layan tm mahal parkir mobil area bebas parkir,0,1,1,0,0
142,wisata luarga senang anak murah riah pandang bagus,1,0,1,0,0
143,wahana wisata awar pandang bukit hampar sawah kolam suasana sejuk asri pilih main reta sawah atv bebek air kuda kolam luas prasarana parkir toilet sampah tersedia nya harga tiket masuk murah tiket main jangkau,0,0,1,1,0
144,pagi weekend biar rama,0,0,1,0,0
145,agam main rekomended,1,0,0,1,0
146,bagus banget layan bagus makan enak murah,1,1,1,0,1
147,parkir nya hujan jembret,0,0,1,0,0
148,krasan wisata alam tiket murah riah wahana lumay pilih senang luarga gembira sepulang sumber gempong,1,0,1,1,0
149,kunjung pas tanggal merah waaah nyata lumay sekal unjung suasana rama luas asa sesak wahana sepeda air antri sesuai nomor tiket sepert wahana reta sawah tertib antri,0,0,1,1,0
150,senang,1,0,0,1,0
151,reka butuh segar sumber gempong trawas cocok udara sejuk suasana senang tiket masuk reta sawah tiket keliling sawah reta sawah pokok asyik,1,0,1,1,0
152,makan murah rian lumay enak,1,0,0,0,1
153,suasana alam sejuk,1,0,1,0,0
154,wajib cebur kolam cuman parkir mobil kasih tenda biar hot lotot wkwkwk,0,0,1,1,0
155,wisata alam arik luarga pandanganx indah hijau edukasi anak tani samping sumber mata air jernih wahana main,1,0,1,1,0
156,sejuk asri alam fasilitas toilet mohon karen tidak seimbang unjung,0,0,1,0,0
157,kerja sore bawa tiker santa ikmat udara pandang sejuk panas teduh saung titik jajan mahal saran bawa motor sayang mobil tiket murah,0,0,1,0,1
158,pandang bagus tiket masuk ebu parkir motor ebu sejuk mantap pokok,1,0,1,0,0
159,sungguh zngt puaz dngn pmndangn lokazinxa zngt tpt api ikanxa zngt puaz,1,0,1,0,0
160,fasilitas bagus cocok ngopi ngelamun,1,0,1,0,1
161,nya bagus masuk desa wisata jalan nanjak,0,0,1,0,0
162,pandang sawah masya allah akses uju lumay egang arah panda lewa tanja jurang ampel motor supra ngos ngosan mundur alhamdulil allah lindung anak istri,0,0,1,0,0
163,tama kali tahap bangun cafe kali nyata fasilitas parkir nya tahap bangun main anak anak bikin anak anak betah main harga tiket masuk ribu dewasa parkir mobil ribu musholla,0,0,1,1,0
164,waspada musim hujan daerah lereng bukit rawan banjir longsor,0,0,1,0,0
165,wisata murah riah tiket masuk ribu orang biaya parkir mobil ribu main tiket ribu sampa ribu kolam pandi langsung sumber air nomor kaporit,1,0,1,1,0
166,suka sekal nuansa alam sawah pokok,1,0,1,0,0
167,wisata sih murah riah tiket masuk ribu,1,0,1,0,0
168,dana akses masuk gang sempit ganti mobil papas jalan turun parkir mobil rebu tiket masuk rebu orang murah pr banget parkir batas tamu bludak rama alhasil penuh antri parkir wahana antri sampa bilas ganti antri beli aqua warung sawah rebu murah urut cafe nuansa jogja ya weekday,0,0,1,0,1
169,bablas ambil tiket pinggir jalan suru tukang parkir lokasi jalan lumay muter bilang samperin loket ya usir suruh jalan masuk sempit rumah rumah warga bagus bagus panas panas ujan ya ujan ujan plus becek banget nomor recomended segi karyaw lokasi bagus,0,1,1,0,1
170,nya bagus cocok luarga,1,0,1,0,0
171,asri main lu anak dewasa,1,0,1,1,0
172,bagus asri tiket masuk orang reta orang kolam renang gratis jual,1,0,1,1,0
173,harga tiket masuk murah ribu orang bagus banget nya alam sejuk lilingi sawah air nya bersih,1,0,1,0,0
174,siang panas,0,0,1,0,0
175,wisata embang potensi upa sumber mata air sawah asiring indah pandang gunung anggung lola bumdes,1,1,1,0,0
176,kesempat luarga kunjung overall segi konsep bagus suasana desa butuh wahana sepeda bebek sedia unit banding unjung weekend wahana reta sawah hati safety rel reta umpang duduk gerbong sedia sabuk aman paka pintu anak anak bahaya tidak damping orang tua kolam renang campur ikan air asa bau amis lanta kolam batu sedia kolam khusus renang parkir wisata hadap lonja unjung,0,0,1,1,0
177,khas indah nya alam desa hijau,1,0,1,0,0
178,bagus perluas wahana main anak harga tiket wahana jangkau wahana gemar unjung reta sawah,1,0,1,1,0
179,bagus cocok habis libur pekan luarga,1,0,1,0,0
180,tama kali dengar teman sampa lokasi reun teman sd puja surabaya tanggal rapi sejuk wahana selanjutny pikir akses masuk apalag posisi turun anjak,1,0,1,1,0
181,bagus ut arena main dewasa anak hibur,1,0,1,1,0
182,dingin sejuk asik cocok piknik luarga,1,0,1,0,0
183,wisata murah riah bagus,1,0,1,0,0
184,tiket murah fasilitas akses masuk jalan sempit,0,0,1,0,0
185,sangka sebagus betah sekal apalag cuaca sahabat kali mantavv pandang,1,0,1,0,0
186,wisata alam mojokerto luas dingin parkir mobil luas harga tiket masuk nya murah ribu parkir mobil ribu makan minum nya relatif murah banding wisata jalan masuk lumay sempit mobil aplg adu mobil tugas mngatur space kosong sebenar manfaat wahana main anak makan biar rama pas pulang periksa karcis pulang sebenar aga khawatir aman ndara,0,1,1,1,1
187,duduk panas,0,0,1,0,0
188,indah suasana desa ya kental tiket masuk kantong ajar banget mantap recommended wajib masuk daftar healing kali trawas,1,0,1,0,0
189,cocok santa luarga,1,0,1,0,0
190,bagus tiket murah makan jual murah jangkau pas weekday siang rama tiket murah pinat,1,0,1,0,0
191,harga ramah kantong cocok pas tanggal tua harga makan murah riah,1,0,1,0,1
192,bagus anak bosan kali kali,1,0,1,0,0
193,jalan masuk lokasi lebar cari jalan masuk rama fasilitas toilet asa sekal unggu sabar guba orang ganti bilas sete mandi enang asyik udara mantap tata rapi pilih libur luarga ok,0,1,1,1,0
194,bagus segar banget enak banget,1,0,1,0,0
195,tiket masuk murah parkir lumay makan enak harga sahabat,1,0,1,0,1
196,atraksi nya murah riah pilih start ribu wahana main kolam renang alam api ikan gratis musim marau wajib banget bawa topi payung rimbun parkirmobil ribu sptnya parkir motor ribu tidak biaya masuk staff nya ramah khusus reta api antri menit gantung ramai ya senang holidays guys,1,1,1,1,1
197,nya bagus pandang nya bagus cocok wisata,1,0,1,0,0
198,wisata low budget bikin sekeluarga senang saran sumber gempong angkat pagi pekan rama mobil tolak gaboleh masuk parkir full wahana nya arik murah riah nih foto budgeting angkat lokasi total,1,1,1,1,0
199,perintah daerah sungguh panfaat lahan sumber sekal tau sih milik orang swasta milik perintah daerah fasilitas kalah duduk bikin ngunjung gampang cari duduk capek,1,0,1,0,0
200,bagus banget sejuk sawah,1,0,1,0,0
201,tahap bangun ya nyaman cocok healing,1,0,1,0,0
202,catat jalan area parkir cor aspal musim hujan licin bahaya,0,0,1,0,0
203,sejuk indah wahana kantin jual lihat kotor arik,0,0,1,1,0
204,tiket murah minggu padat unjung kolam renang kolam ikan gratis wahana seru reta sawah lintas sawah tanam strawbery rekomended wisata luarga,1,0,1,1,0
205,luas,1,0,1,0,0
206,suasana alam pesona,1,0,1,0,0
207,murah bagus,1,0,1,0,0
208,murah riah,1,0,1,1,1
209,suka banget suasana asri sejuk beli makan toko cafe parkir saran toko gubuk biar jual makan tiket murah riah suka suasana jelang sore,1,0,1,0,1
210,sepert pulang kampung dada unjung wisata parkir luas destinasi kunjung area sawah hijau kolam ikan api ikan atv reta sawah kolam pandi ayun makan lumay worth rekomended kali ikmat suasana tenang asri,1,0,1,1,0
211,bagus sih wahana,0,0,0,1,0
212,nya bersih cocok wisata luarga sawah hijau pandang bagus aneka main seru area kolam pandi taman,1,0,1,1,0
213,enak udara sejuk sekal lokasi mudah jangkau,1,0,1,0,0
214,sebetul daerah gunung pandang sawah asiring luas backgeound gunung arjuno tiket masuk parkir mobil minggu rama sekal unjung asar sedia toilet kamar ganti bilas bayar seikhlas tika padat unjung sedia musholla bersih kondisi atur masuk ndara sonel tika mobil papas sulit efek macet kolam alam aman pinggir kolam kolam batu tajam esiko fatal tika unjug tidak paham parkir mobil tika musim hujan roda selip dasar tanah lihat overall sebetul panis sedemiki rupa sehinggga tmpk arik,0,0,1,1,0
215,wisata konsep sawah harga tiket masuk murah,1,0,1,0,0
216,jawaba pohon elola tanam pohon area buka biar kesan sahabat unjung mayoritas anak,1,1,1,0,0
217,bareng luarga teman harga sahabat,1,0,1,0,0
218,wahana main asyik parkir luas gazebo krg weekend pngunjug mmbludak,0,0,1,0,0
219,suasana enak sejuk tiket murah makan cafe lumay enak harga standard ya wisata karenaa pas acara kantor suam nginep nyewa tend tenda cocok pekan luarga teman kerja,1,0,1,0,1
220,bagus banget cuy ragu lihat comment ig bilang minggu bikin pala pusing sampa gedek saking rame minggu coba sampa pas jam enak banget sepi super dingin rame jam an kali rama ya pagi but rama seru sih sampa bikin gedek wkwkwk,0,0,1,0,0
221,bagus,1,0,1,0,0
222,pandang bagus makan enak harga murah,1,0,1,0,1
