No,Ulasan,Label,Pelayanan,Fasilitas,Wahana,Kuliner
1,Sayang jalan masuk sangat sempit,0,0,1,0,0
2,"Wisata yg bagus tp masih banyak yg buang sampah sembarangan , sayang sekali",0,0,1,0,0
3,Loket setelah parkir biar tdk macet dan lebih cepat,0,1,0,0,0
4,"Bagi orang kota yg sibuk, sawah adalah pemandangan yg menarik. Duduk santai, menikmati hidangan sambil memandangi sawah sangat mengasyikkan.",1,0,1,1,1
5,"Woww....alamnya /viewnya sgt asri,dingin kyknya,pemandanganya cakep,keren...jd kepingin jln""kesana mas...tiket harga jg terjangkau",1,0,0,1,0
6,Keren sekali.. Cocok buat liburan bersama keluarga tercinta....,1,1,1,0,0
7,"Kreatif ya pemilik wisatanya, menyajikan wisata pertanian dengan dengan alam pedesaan",1,1,1,1,0
8,"Wisata sawah sumber,Ternyata sawah bisa dijadikan tempat wisata, keren",1,0,1,0,0
9,Sumber Gempong Trawas... Wisata murah meriah buat keluarga. favorit saya wahana keretanya hehe,1,0,0,1,0
10,SubhanAllah wisata murah meriah dengan view sangat indah,1,0,1,0,0
11,"Kami seklrga sdh pernah kesana, pemandangannya indah sejuk murah lg",1,0,1,0,0
12,Untuk aksesnya gangnya smpit buat kluar masuk kendaraan apalgi sya driver elf kadang macettt simpangan...semoga ada jalur kluar masuk yg agak lebar biar bus jg bisa masuk,0,0,1,0,0
13,"pernah mau masuk ke situ, tapi gagal masuk karena penuh, tdk ada parkir, datang sekitar jam 11 siang",0,0,1,0,0
14,Untuk sawahnya udah ijo semua hari minggu kmaren .Untuk kamar mandinya airnya sangat kotor sangat tidak dianjurkan mandi di toilet umum,0,0,1,0,0
15,Tempatnya bagus suasana sawah yang hijau menyejukkan mata,1,0,1,0,0
16,Kelihatan sejuk dan indah tempat wisatanya,1,0,1,0,0
17,Bagus tempat wisata alamnya memanfaatkan area persawahan dikemas jadi tempat wisata yang menarik,1,1,1,0,0
18,Wisata alam banget mainannya juga beragam cocok untuk keluarga,1,0,0,1,0
19,Tempat yg menyenangkan buat liburan bersama keluarga,1,0,1,0,0
20,Tempat wisata yang indah dan nyaman,1,0,1,0,0
21,Tempatnya indah dengan berbagai wahananya,1,0,0,1,0
22,aku udah tau kesitu tiket nya murah bangettt + wahana nya murahhh,1,0,1,0,0
23,"kurang tempat berteduh gazebonya..karena lahan persawahan jadinya panas banget..air kolam keruh buat anak""bermain air..maaf cuma saran aja kedepannya",0,0,1,0,0
24,"2 minggu kmrin ke sana2:jauh2 dr sby smpe depan gapura katae penuh g bs masuk,kecewa deh",0,1,1,0,0
25,kurang kulinernya..,0,0,0,0,1
26,panas amat kalo siang,0,0,1,0,0
27,"tmpat parkir prlu d perluasan,dn akses masuk jg,mobil hrs gntian klu masuk gg nya",0,1,1,0,0
28,jalur mobil kurang jembar maszeeh,0,0,1,0,0
