No,Ulasan,Label,Pelayanan,Fasilitas,Wahana,Kuliner
1,sayang jalan masuk sempit,0,0,1,0,0
2,wisata bagus buang sampah sembarang sayang,0,0,0,0,0
3,loket parkir biar tidak macet cepat,0,0,1,0,0
4,orang kota sibuk sawah pandang tarik duduk santai nikmat hidang pandang sawah asyik,1,0,0,0,1
5,wow alam pandang asri dingin kayak pemandanganya cakep keren pengin jalan kesana mas tiket harga jangkau,1,0,1,0,0
6,keren cocok libur keluarga cinta,1,0,0,0,0
7,kreatif ya milik wisata saji wisata tani alam desa,1,0,0,0,0
8,wisata sawah sumber sawah jadi wisata keren,1,0,0,0,0
9,sumber gempong trawas wisata murah riah keluarga favorit wahana kereta hehe,1,0,0,1,0
10,subhanallah wisata murah riah pandang indah,1,0,0,0,0
11,keluarga kesana pandang indah sejuk murah,1,0,0,0,0
12,akses gang smpit masuk kendara driver elf kadang macettt simpang moga jalur masuk lebar biar bus masuk,0,0,1,0,0
13,masuk situ gagal masuk penuh tidak parkir jam siang,0,0,1,0,0
14,sawah ijo minggu kemarin kamar mandi air kotor tidak anjur mandi toilet,0,0,1,0,0
15,tempat bagus suasana sawah hijau sejuk mata,1,0,0,0,0
16,sejuk indah wisata,1,0,0,0,0
17,bagus wisata alam manfaat area sawah kemas wisata tarik,1,0,0,0,0
18,wisata alam banget main agam cocok keluarga,1,0,0,1,0
19,senang libur keluarga,1,0,0,0,0
20,wisata indah nyaman,1,0,0,0,0
21,tempat indah wahana,1,0,0,1,0
22,tau kesitu tiket nya murah banget wahana nya murah,1,0,1,1,0
23,teduh gazebonya lahan sawah panas banget air kolam keruh anak main air maaf saran depan,0,0,1,1,0
24,minggu kemarin surabaya gapura katae penuh masuk kecewa deh,0,1,0,0,0
25,kuliner,0,0,0,0,1
26,panas siang,0,0,1,0,0
27,parkir luas akses masuk mobil gntian masuk nya,0,0,1,0,0
28,jalur mobil jembar maszeeh,0,0,1,0,0
29,main antri nya ngeri weekend pandang oke,0,0,0,1,0
30,sip wae jalur kereta sawah baru ya kali jalur lewat kolam,1,0,0,1,0
31,kemarin jam set an suruh lurus hansipnya masuk,0,1,0,0,0
32,kereta cocok anak mtpi emak pengin ngikut,1,0,0,1,0
33,bagus parkir susah sih,0,0,1,0,0
34,camping ground kak nya urus,0,0,0,1,0
35,banyak pohon kak biar teduh pohon trembesi pohon mangga lainyya,0,0,1,0,0
36,gazebonya kak masak sana teduh,0,0,1,0,0
37,maaf kak toilet sampah ya toilet pawon ku,0,0,1,0,0
38,kstu penuh tolak,0,1,0,0,0
39,jalan parkir arah pulang bikin kecewa moga cepat bagusin,0,0,1,0,0
40,tolong banyakinn wahana min kolam renang bagusin ya min trms,0,0,0,1,0
41,puuuuuanaaas teduh pohon rindang munkin enak,0,0,1,0,0
42,suka terapi ikan nya,1,0,0,1,0
43,pandang bagus sayang toilet,0,0,1,0,0
44,bagus unjung pengin kesana,1,0,0,0,0
45,maaf sesuai realita kolam anak keruh cuaca panas banget teduh pada sawah,0,0,1,1,0
46,murah makan enak kali ksana,1,0,0,0,1
47,saran kolam nya bersih karenaa pijak batu lmyn tajem,0,0,0,1,0
48,akses masuk macet pol min mohon cari akses akses hehe,0,0,1,0,0
