ulasan,label
wisata trawas sumber air pandang sawah gunung anggung,1
renovasi wisata mandi enang nyaman,0
seru itip baju tenang renang,1
asyik suasana desa putar gunung udara sejuk,1
sejuk indah asli sejuk asri,1
bagus banget enak rekreasi luarga kolam renang cafetaria,1
wisata sawah enang bersih tata enak bawa luarga sini,1
wisata murah riah,1
nyaman kunjung indah bagus tenang rest nyaman gubuk suka kolam renang air jernih segar pokok wajib kunjung weekend ya,1
wisata alam asri pandang sawah kolam renang air sumber alam kaporit,1
suasana mantab,1
wisata gunung lumay bagus,1
tiket murah orang,1
wisata tutup,0
bagus murah sayang akses jalan sempit batu,0
wisata bagus suasana sawah pandi air sumber asli cocok libur luarga anak anak main,1
maksimal,0
jos murah riah enak bawa motor akses jalan masuk lokasi sempit bawa mobil tanggal merah rama susah papas mobil masuk,0
