ulasan,label
tempat wisata baru trawas sumber air pandang sawah gunung tanggung,1
renovasi jadi tempat wisata baru mandi renang kok kurang nyaman,0
seru enggak titip baju jadi enggak tenang mau renang,1
asyik suasana desa putar gunung udara sejuk,1
tempat sejuk sangat indah asli tempat sejuk sangat asri,1
bagus banget enak buat rekreasi keluarga kolam renang cafetaria,1
wisata sawah tenang bersih tata baik enak bawa keluarga kalau kesini,1
wisata murah riah,1
tempat nyaman kunjung indah bagus tenang rest nyaman gubuk paling suka kolam renang air jernih segar pokok wajib kunjung weekend,1
wisata alam asri pandang sawah kolam renang air sumber alami kaporit,1
suasana mantab,1
wisata gunung lumayan bagus,1
tiket murah cuma per orang,1
tempat wisata tutup,0
cukup bagus murah sayang akses jalan sempit batu,0
tempat wisata bagus suasana sawah mandi air sumber asli cocok buat libur keluarga anak anak main,1
maksimal mungkin baru,0
jos murah riah paling enak bawa motor akses jalan masuk lokasi sempit kalau bawa mobil tanggal merah ramai jadi susah kalau papas sama mobil mau keluar masuk,0
