ulasan,label
tempat wisata baru trawas sumber air pandang sawah gunung anggung,1
renovasi jadi tempat wisata baru mandi enang kok kurang nyaman,0
seru enggak itip baju jadi enggak tenang mau renang,1
asyik suasana desa putar gunung udara sejuk,1
tempat sejuk sangat indah asli tempat sejuk sangat asri,1
bagus banget enak buat rekreasi luarga kolam renang cafetaria,1
wisata sawah enang bersih tata baik enak bawa luarga kalau sini,1
wisata murah riah,1
tempat nyaman kunjung indah bagus tenang rest nyaman gubuk paling suka kolam renang air jernih segar pokok wajib kunjung weekend,1
wisata alam asri pandang sawah kolam renang air sumber alam kaporit,1
suasana mantab,1
wisata gunung lumay bagus,1
tiket murah cuma per orang,1
tempat wisata tutup,0
cukup bagus murah sayang akses jalan sempit batu,0
tempat wisata bagus suasana sawah pandi air sumber asli cocok buat libur luarga anak anak main,1
maksimal mungkin baru,0
jos murah riah paling enak bawa motor akses jalan masuk lokasi sempit kalau bawa mobil tanggal merah rama jadi susah kalau papas sama mobil mau luar masuk,0
