ulasan,label,pelayanan,fasilitas,wahana,kuliner
terus kembang tambah fasiltas khusus toilet baik akses jalan,0,0,1,0,0
tempat wisata baru jadi spenuh jadi tiket masuk itu kalau jaga kalau jaga langsung masuk gratis perlu bayar uang parkir kolam renang lebih anak cowok kolam jrg paka trkesan lumut hehe anak kecil biasa main air kolam sederhana tidak buat renang atas jual jajan bawa jajan lokasi,0,1,1,1,1
pandang sangat indah suasana nyamaann,1,0,0,0,0
wisata edukasi sederhana cukup enang jiwa rana,1,0,0,0,0
tempat wisata baru trawas sumber air pandang sawah gunung anggung,1,0,0,0,0
renovasi jadi tempat wisata baru mandi enang kok kurang nyaman,0,0,0,1,0
seru enggak itip baju jadi enggak tenang mau renang,0,0,0,1,0
asyik suasana desa putar gunung udara sejuk,1,0,0,0,0
tempat sejuk sangat indah asli tempat sejuk sangat asri,1,0,0,0,0
bagus banget enak buat rekreasi luarga kolam renang cafetaria,1,0,0,1,1
wisata sawah enang bersih tata baik enak bawa luarga kalau sini,1,0,0,0,0
liling indonesia,1,0,0,0,0
wisata murah riah,1,0,0,0,0
tempat nyaman kunjung indah bagus tenang rest nyaman gubuk paling suka kolam renang air jernih segar pokok wajib kunjung weekend,1,0,1,1,0
kak buka enang,1,0,0,1,0
nyaman segar udarae bang jau jalan raya enak buat santa main sawah,1,0,0,0,0
tempat penuh jajak dapat asli aduh tempat puanas poll,0,0,1,0,0
pandang indah harga makan cukup murah,1,0,0,0,1
baru tama nemu tempat kayak begin mojokerto,1,0,0,0,0
tempat asri,1,0,0,0,0
mula rama unjung ppkm semoga lalu,1,0,0,0,0
bagus cuma jalan tempat nya baru,0,0,1,0,0
enak buat ngumpul bareng luarga teman suasana enak banget,1,0,0,0,0
tempat nyaman buat wisata luarga,1,0,0,0,0
cocok buat luarga pandang bagus banyak ikan air tawar,1,0,0,1,0
bagus cocok orangtua anak recomend layan baik,1,1,0,0,0
cocok wisata luarga banyak fasilitas proses bangun,0,0,1,0,0
wisata sawah sumber gempong trawas mojokerto best rice field tourism destination,1,0,0,0,0
baru nih serius keren sih segar banget cocok buat ngerefresh otak sini,1,0,0,0,0
pandang sawah,1,0,0,0,0
bagus unt rekreasi sama luarga teman teman sumber air alam segar jernih sila sini mau rama parkir luas harga tiket masuk sangat jangkau,1,0,1,0,0
pandang nya bagus sawah gunung,1,0,0,0,0
mantap wes,1,0,0,0,0
tempat rekreasi luarga pandang bagus harga pas kantong,1,0,0,0,0
tempat bagus hari tanggal makan minum siap,0,0,0,0,1
nyaman sangat cocok buat luarga rileksasi,1,0,0,0,0
sejuk banget tempat nya enak buat the luarga time,1,0,0,0,0
natural pandang bagus tempat very murah pandang alam tempat bagus sangat murah,1,0,0,0,0
sejuk adem tempat bersih,1,0,0,0,0
tempat pas wisata pandang alam indah udara gunung sejuk,1,0,0,0,0
wisata alam asri pandang sawah kolam renang air sumber alam kaporit,1,0,0,1,0
like suka,1,0,0,0,0
suasana mantab,1,0,0,0,0
wisata gunung lumay bagus,1,0,0,0,0
tiket murah cuma per orang,1,0,1,0,0
tempat bersih tiket masuk murah rp per orang,1,0,1,0,0
bagus datang pagi biar enggak panas,0,0,1,0,0
tempat wisata bagus suasana sawah pandi air sumber asli cocok buat libur luarga anak anak main,1,0,0,1,0
maksimal mungkin baru,0,0,0,0,0
tempat sangat bikin hati tenang,1,0,0,0,0
jos murah riah paling enak bawa motor akses jalan masuk lokasi sempit kalau bawa mobil tanggal merah rama jadi susah kalau papas sama mobil mau luar masuk,0,0,1,0,0
pandang bagus sejuk adeeem,1,0,0,0,0
tempat asyik luas,1,0,0,0,0
tempat sejuk pandang sangat indah alam hampar sawah hijau kolam ikan,1,0,0,1,0
tempat pilih wisata lokal area trawas suhu sejuk khas trawas air jernih gunung jadi nyaman berjam jam endam kaki,1,0,0,1,0
tempat cukup enang panja mata pandang gunung sawah sayang jarak lokasi beli makan bilang jauh,0,0,0,0,1
